u50,u100,u250,u500,u1000,u2000,u4000,ID
0,4.771275479,14.80067449,17.8429679,17.2390638,16.3995449,15.35248732,B18
0,3.594265835,17.4362192,18.09584948,17.02948714,16.28777628,15.30365805,B2
0,2.70323664,15.43460473,17.71984679,17.13210743,16.33514726,15.32086416,B21
0,0.56723076,14.59167148,16.93607531,16.80735743,16.19933732,15.25526675,B27+
0,9.969296651,9.686060956,8.759692467,15.87841216,16.33998253,17.09614372,O15+
0,0,0,0.224267072,3.809269086,12.7038317,14.62284493,SPAEC02
0,1.402077242,5.400154804,7.672360751,4.105489621,7.075779418,7.307972442,SPAEC05
0,6.415924138,22.11374794,29.55732572,20.57095788,13.70801659,6.750030068,SPAEC22
0,0.59247049,19.53186109,29.41086582,20.70059846,13.79871411,6.732673797,SPAEC26
0,4.499027011,6.323297819,7.865706683,12.96707232,18.40719071,18.50875688,W14+
0,4.602684929,6.294194817,7.871187829,12.98970832,18.42040315,18.51211128,W15
0,4.641739007,6.28474094,7.872303852,12.99744891,18.42489421,18.51328266,W16+
0,4.631635026,6.261875334,7.883395527,13.01220427,18.43337787,18.51512523,W19+
0,4.299287056,6.417717827,7.83388052,12.89876223,18.36776363,18.49946485,W7+
0,4.163086045,6.271371108,7.915972687,12.9914151,18.41891149,18.51015534,W9
0.056407518,4.930833944,10.57464236,16.86868331,17.28066791,16.4410097,15.38541347,B11
0.130180298,0.032545074,1.695294996,2.174505886,2.140701008,4.723360718,3.80246329,ZSR1
1.139522071,16.4499459,15.53599379,11.12810878,16.33291903,17.51193541,17.64001234,O5+
1.160203753,14.91711733,15.62530411,10.17497916,15.95621579,17.16777221,17.49728619,O9
1.316628618,0.615979807,4.379884185,10.33031694,15.2604021,16.36721561,16.40429767,SPAEC28
2.765204306,3.586507269,2.968932588,3.663306682,4.946378468,5.573992577,6.254982568,SPAEC18
2.796071295,17.21143371,15.48090274,11.12027238,16.39712856,17.52519161,17.63933007,O26+
3.403790206,2.829319973,2.254262056,3.309836886,5.193823653,5.691216496,6.457921219,SPAEC23
5.230144958,5.571206095,5.565222446,3.73250745,4.176077796,2.774927302,3.702976144,SPAEC24
7.172794196,18.89357191,13.27826353,6.600304342,6.975210118,5.491634775,4.555939099,SPAEC35
7.678074335,6.336930389,7.06852385,12.60227868,16.03492382,16.56668084,16.82611017,SPAEC41
8.680593869,29.93341493,39.49817465,43.00191126,41.17270884,34.15738851,21.23236761,M2
12.18497296,32.05857827,41.01101183,43.47151175,41.35038112,34.21291514,21.24900541,M6
12.29477744,32.17749663,39.83413269,38.67719149,34.95865985,31.36669007,20.86841274,C18
12.91729009,33.96564841,42.33996484,44.02715296,41.62983264,34.26960617,21.26168674,M10
13.06265069,32.03313084,39.72284247,38.65740497,34.94083794,31.39230892,20.8779086,C17
14.55773201,31.73181086,39.55447565,38.62510751,34.97171137,31.43964589,20.89140144,C16
14.99909861,38.33077845,43.11141325,44.85899371,41.93860943,34.3712071,21.28861491,M17
15.51554762,31.86867131,39.46776078,38.48330895,34.95780111,31.44069029,20.89594896,C15
15.65600009,30.5500634,34.90273039,38.95061007,38.18709215,31.77141793,21.08211989,C1e
16.06894528,32.91340235,41.65478204,43.75860591,41.49993687,34.22812126,21.2560946,M3
16.16635896,36.67554515,42.85699147,44.47997074,41.77087007,34.30144447,21.2729783,M14+
17.17855852,37.6132093,42.93806099,44.64254954,41.81805411,34.31622259,21.27827795,M15
18.63042093,27.0644559,36.52040584,39.40329615,37.37713662,31.84611751,21.06905584,C7
20.52865203,17.91652764,15.46669437,13.13414692,17.22389715,18.09953345,17.94606803,O1+
23.53258935,26.56462528,24.85973604,19.75177362,20.69930973,17.94671543,16.95655549,SPAEC12
24.18682324,27.46505793,22.34646244,24.46581085,23.55295293,20.26491324,16.49042367,F22
24.49717955,27.76032422,30.77932391,36.65079305,37.47575453,34.07609698,21.29177412,SPAEC52
24.66789654,25.91089452,25.30434512,20.78260399,13.31297549,15.95819504,17.41166598,SPAEC44
26.20009197,13.32095365,2.522683445,1.811301586,4.18024623,5.53021675,5.194497298,SPAEC50
27.41162058,30.31547213,29.92520968,24.77369768,21.44463542,18.56490493,16.13220303,F3e
27.98112588,30.44607848,30.12767696,24.77082745,21.50590512,18.59004307,16.14210279,F3+
28.57989967,30.15260793,29.98516843,24.76020251,21.49697179,18.57743033,16.14183119,F4
29.39838304,30.73938903,30.39908084,25.95888017,22.80796108,19.55924963,16.27370661,F21
29.90118015,29.04271467,29.47489498,24.65000342,21.36379211,18.50422322,16.12068888,F7
34.33075089,41.37043507,41.96464374,42.36971569,40.73067854,32.72858196,21.29899896,SPAEC07
35.17402155,34.05843246,36.94038576,41.51261037,40.59362569,32.93543569,21.23815845,SPAEC03
35.17402155,34.05843246,36.94038576,41.51261037,40.59362569,32.93543569,21.23815845,SPAEC20
39.20973382,34.44959916,32.00237741,34.54782736,38.58789411,34.37565689,21.62834264,SPAEC32
39.20973382,34.44959916,32.00237741,34.54782736,38.58789411,34.37565689,21.62834264,SPAEC33
54.88088586,44.9179048,34.79797057,33.9298663,26.98003303,26.94385138,19.78649517,SPAEC37
54.88088586,44.9179048,34.79797057,33.9298663,26.98003303,26.94385138,19.78649517,SPAEC42
