ID	LATITUDE	LONGITUDE	fB	fR	fT	u50	u100	u250	u500	u1000	u2000	u4000
B11	51.06617	3.684383	0.1500	0.3000	0.0000	0.0564075180344304	4.93083394356088	10.5746423566113	16.8686833094775	17.2806679104277	16.4410096958223	15.3854134704868
B18	51.066572	3.684249	0.0500	0.2000	0.0000	0	4.77127547889276	14.8006744893787	17.8429678957352	17.2390638043558	16.3995449025148	15.3524873216813
B2	51.066827	3.684031	0.0000	0.3000	0.0500	0	3.59426583478844	17.4362191963605	18.0958494782185	17.0294871399395	16.2877762753004	15.3036580487386
B21	51.066644	3.684111	0.0667	0.5074	0.0611	0	2.70323664001149	15.4346047333584	17.7198467867543	17.132107432981	16.3351472599769	15.3208641605832
B27+	51.066615	3.683841	0.0000	0.2000	0.2000	0	0.567230759921194	14.5916714764669	16.9360753056332	16.8073574295444	16.1993373231203	15.2552667548468
C15	51.050225	3.711018	0.3000	0.4000	0.0000	15.5155476229141	31.8686713089896	39.4677607805771	38.4833089467477	34.95780111437	31.440690290223	20.8959489593634
C16	51.050288	3.710979	0.4000	0.0500	0.0000	14.5577320115441	31.7318108602238	39.5544756459975	38.6251075089742	34.9717113689417	31.4396458878382	20.8914014413864
C17	51.050346	3.710886	0.2500	0.0500	0.0500	13.0626506880777	32.0331308420917	39.7228424654706	38.6574049716322	34.9408379382471	31.3923089230165	20.8779085986002
C18	51.050399	3.710821	0.3000	0.4000	0.0000	12.2947774377071	32.177496625634	39.834132692437	38.6771914930391	34.9586598450084	31.3666900743345	20.8684127370104
C1e	51.04836	3.713387	0.1500	0.3500	0.0000	15.6560000939946	30.5500633994894	34.9027303940623	38.9506100658019	38.1870921513339	31.771417932553	21.0821198949846
C7	51.048783	3.712931	0.1500	0.2000	0.0500	18.6304209321552	27.0644558953268	36.5204058378644	39.4032961490026	37.3771366172787	31.8461175082976	21.0690558352905
F21	51.068237	3.690642	0.1000	0.4000	0.0500	29.3983830448722	30.7393890274709	30.3990808389059	25.9588801708393	22.8079610825457	19.5592496337523	16.2737066072584
F22	51.069291	3.692179	0.3000	0.2500	0.0000	24.1868232405707	27.4650579305428	22.3464624421699	24.4658108455103	23.5529529303707	20.2649132356157	16.4904236671111
F3+	51.067246	3.688896	0.1000	0.2000	0.0000	27.981125877787	30.4460784779141	30.1276769645314	24.7708274517134	21.505905124736	18.5900430727674	16.1421027864766
F3e	51.067243	3.688823	0.1000	0.3000	0.0500	27.4116205756406	30.3154721326811	29.9252096790294	24.7736976782749	21.4446354166306	18.5649049348009	16.1322030324055
F4	51.067219	3.688871	0.2000	0.2000	0.0500	28.579899673293	30.1526079289791	29.9851684310795	24.7602025124406	21.4969717875507	18.5774303314197	16.141831189107
F7	51.067158	3.688685	0.2500	0.3000	0.0500	29.9011801463061	29.0427146669407	29.4748949804741	24.6500034175962	21.3637921123098	18.5042232185789	16.1206888831318
M10	51.047502	3.720273	0.3000	0.2000	0.1000	12.9172900865796	33.965648409	42.3399648390741	44.0271529624612	41.6298326378054	34.2696061702699	21.2616867444078
M14+	51.047623	3.720214	0.1500	0.2500	0.0500	16.1663589649688	36.675545153252	42.8569914680041	44.4799707388299	41.7708700669146	34.3014444653939	21.2729783024488
M15	51.047666	3.720193	0.1000	0.3500	0.0500	17.1785585220505	37.6132092979937	42.9380609931034	44.6425495389376	41.8180541108216	34.3162225884451	21.2782779478851
M17	51.047729	3.720244	0.2000	0.4500	0.0500	14.999098611736	38.3307784452723	43.1114132509259	44.8589937126576	41.9386094277403	34.3712070995489	21.2886149069729
M2	51.047166	3.720309	0.4500	0.1000	0.0000	8.68059386929079	29.9334149331757	39.4981746531373	43.0019112598113	41.1727088390678	34.1573885078645	21.2323676100662
M3	51.04744	3.720226	0.4500	0.2000	0.1000	16.0689452799014	32.913402350783	41.6547820357766	43.7586059120518	41.4999368676922	34.2281212592944	21.2560945995199
M6	51.047346	3.720289	0.2500	0.4000	0.0000	12.1849729623792	32.0585782694022	41.0110118256856	43.4715117459144	41.3503811181974	34.2129151444533	21.2490054142252
